fecha,estacion,tipo_pago,afluencia
2021-01-03,Hospital 20 de Noviembre,Prepago,1439
2021-01-03,Hospital 20 de Noviembre,Gratuidad,49
2021-01-03,Atlalilco,Boleto,0
2021-01-03,Atlalilco,Prepago,2253
2021-01-03,Atlalilco,Gratuidad,1158
2021-01-03,Calle 11,Boleto,0
2021-01-03,Calle 11,Prepago,3745
2021-01-03,Calle 11,Gratuidad,1756
2021-01-03,Culhuacán,Boleto,0
2021-01-03,Culhuacán,Prepago,4554
2021-01-03,Culhuacán,Gratuidad,1228
2021-01-03,Eje Central,Boleto,0
2021-01-03,Eje Central,Prepago,1782
2021-01-03,Eje Central,Gratuidad,0
2021-01-03,Ermita,Boleto,0
2021-01-03,Ermita,Prepago,1480
2021-01-03,Ermita,Gratuidad,991
2021-01-03,Insurgentes Sur,Boleto,0
2021-01-03,Insurgentes Sur,Prepago,4018
2021-01-03,Insurgentes Sur,Gratuidad,1026
2021-01-03,Lomas Estrella,Boleto,0
2021-01-03,Lomas Estrella,Prepago,2212
2021-01-03,Lomas Estrella,Gratuidad,2052
2021-01-03,Mexicaltzingo,Boleto,0
2021-01-03,Mexicaltzingo,Prepago,2935
2021-01-03,Mexicaltzingo,Gratuidad,488
2021-01-03,Mixcoac,Boleto,0
2021-01-03,Mixcoac,Prepago,1943
2021-01-03,Mixcoac,Gratuidad,105
2021-01-03,Nopalera,Boleto,0
2021-01-03,Nopalera,Prepago,6940
2021-01-03,Nopalera,Gratuidad,1302
2021-01-03,Olivos,Boleto,0
2021-01-03,Olivos,Prepago,4852
2021-01-03,Olivos,Gratuidad,3336
2021-01-03,Parque de los Venados,Boleto,0
2021-01-03,Parque de los Venados,Prepago,1528
2021-01-03,Parque de los Venados,Gratuidad,83
2021-01-03,Periférico Oriente,Boleto,0
2021-01-03,Periférico Oriente,Prepago,5266
2021-01-03,Periférico Oriente,Gratuidad,8275
2021-01-03,San Andrés Tomatlán,Boleto,0
2021-01-03,San Andrés Tomatlán,Prepago,2062
2021-01-03,San Andrés Tomatlán,Gratuidad,749
2021-01-03,Tezonco,Boleto,0
2021-01-03,Tezonco,Prepago,6247
2021-01-03,Tezonco,Gratuidad,746
2021-01-03,Tláhuac,Boleto,0
2021-01-03,Tláhuac,Prepago,5580
2021-01-03,Tláhuac,Gratuidad,1917
2021-01-03,Tlaltenco,Boleto,0
2021-01-03,Tlaltenco,Prepago,1253
2021-01-03,Tlaltenco,Gratuidad,1525
2021-01-03,Zapata,Boleto,0
2021-01-03,Zapata,Prepago,2077
2021-01-03,Zapata,Gratuidad,0
2021-01-03,Zapotitlán,Boleto,0
2021-01-03,Zapotitlán,Prepago,3828
2021-01-03,Zapotitlán,Gratuidad,2100
2021-01-04,Hospital 20 de Noviembre,Boleto,0
2021-01-04,Hospital 20 de Noviembre,Prepago,4603
2021-01-04,Hospital 20 de Noviembre,Gratuidad,430
2021-01-04,Atlalilco,Boleto,0
2021-01-04,Atlalilco,Prepago,4477
2021-01-04,Atlalilco,Gratuidad,3259
2021-01-04,Calle 11,Boleto,0
2021-01-04,Calle 11,Prepago,8178
2021-01-04,Calle 11,Gratuidad,0
2021-01-04,Culhuacán,Boleto,0
2021-01-04,Culhuacán,Prepago,8499
2021-01-04,Culhuacán,Gratuidad,1138
2021-01-04,Eje Central,Boleto,0
2021-01-04,Eje Central,Prepago,2209
2021-01-04,Eje Central,Gratuidad,4250
2021-01-04,Ermita,Boleto,0
2021-01-04,Ermita,Prepago,4190
2021-01-04,Ermita,Gratuidad,220
2021-01-04,Insurgentes Sur,Boleto,0
2021-01-04,Insurgentes Sur,Prepago,12274
2021-01-04,Insurgentes Sur,Gratuidad,618
2021-01-04,Lomas Estrella,Boleto,0
2021-01-04,Lomas Estrella,Prepago,3928
2021-01-04,Lomas Estrella,Gratuidad,2370
2021-01-04,Mexicaltzingo,Boleto,0
2021-01-04,Mexicaltzingo,Prepago,8107
2021-01-04,Mexicaltzingo,Gratuidad,1297
2021-01-04,Mixcoac,Boleto,0
2021-01-04,Mixcoac,Prepago,5061
2021-01-04,Mixcoac,Gratuidad,0
2021-01-04,Nopalera,Boleto,0
2021-01-04,Nopalera,Prepago,13088
2021-01-04,Nopalera,Gratuidad,0
2021-01-04,Olivos,Boleto,0
2021-01-04,Olivos,Prepago,9934
2021-01-04,Olivos,Gratuidad,384
2021-01-04,Parque de los Venados,Boleto,0
2021-01-04,Parque de los Venados,Prepago,4243
2021-01-04,Parque de los Venados,Gratuidad,567
2021-01-04,Periférico Oriente,Boleto,0
2021-01-04,Periférico Oriente,Prepago,9429
2021-01-04,Periférico Oriente,Gratuidad,7161
2021-01-04,San Andrés Tomatlán,Boleto,0
2021-01-04,San Andrés Tomatlán,Prepago,4386
2021-01-04,San Andrés Tomatlán,Gratuidad,555
2021-01-04,Tezonco,Boleto,0
2021-01-04,Tezonco,Prepago,13003
2021-01-04,Tezonco,Gratuidad,1747
2021-01-04,Tláhuac,Boleto,0
2021-01-04,Tláhuac,Prepago,15386
2021-01-04,Tláhuac,Gratuidad,3232
2021-01-04,Tlaltenco,Boleto,0
2021-01-04,Tlaltenco,Prepago,2234
2021-01-04,Tlaltenco,Gratuidad,903
2021-01-04,Zapata,Boleto,0
2021-01-04,Zapata,Prepago,4528
2021-01-04,Zapata,Gratuidad,817
2021-01-04,Zapotitlán,Boleto,0
2021-01-04,Zapotitlán,Prepago,7613
2021-01-04,Zapotitlán,Gratuidad,0
2021-01-05,Hospital 20 de Noviembre,Boleto,0
2021-01-05,Hospital 20 de Noviembre,Prepago,4634
2021-01-05,Hospital 20 de Noviembre,Gratuidad,853
2021-01-05,Atlalilco,Boleto,0
2021-01-05,Atlalilco,Prepago,4174
2021-01-05,Atlalilco,Gratuidad,4117
2021-01-05,Calle 11,Boleto,0
2021-01-05,Calle 11,Prepago,9101
2021-01-05,Calle 11,Gratuidad,2753
2021-01-05,Culhuacán,Boleto,0
2021-01-05,Culhuacán,Prepago,9278
2021-01-05,Culhuacán,Gratuidad,1862
2021-01-05,Eje Central,Boleto,0
2021-01-05,Eje Central,Prepago,2293
2021-01-05,Eje Central,Gratuidad,3657
2021-01-05,Ermita,Boleto,0
2021-01-05,Ermita,Prepago,4389
2021-01-05,Ermita,Gratuidad,741
2021-01-05,Insurgentes Sur,Boleto,0
2021-01-05,Insurgentes Sur,Prepago,12464
2021-01-05,Insurgentes Sur,Gratuidad,125
2021-01-05,Lomas Estrella,Boleto,0
2021-01-05,Lomas Estrella,Prepago,4699
2021-01-05,Lomas Estrella,Gratuidad,1446
2021-01-05,Mexicaltzingo,Boleto,0
2021-01-05,Mexicaltzingo,Prepago,8257
2021-01-05,Mexicaltzingo,Gratuidad,1027
2021-01-05,Mixcoac,Boleto,0
2021-01-05,Mixcoac,Prepago,5307
2021-01-05,Mixcoac,Gratuidad,65
2021-01-05,Nopalera,Boleto,0
2021-01-05,Nopalera,Prepago,13788
2021-01-05,Nopalera,Gratuidad,1808
2021-01-05,Olivos,Boleto,0
2021-01-05,Olivos,Prepago,10326
2021-01-05,Olivos,Gratuidad,0
2021-01-05,Parque de los Venados,Boleto,0
2021-01-05,Parque de los Venados,Prepago,4288
2021-01-05,Parque de los Venados,Gratuidad,375
2021-01-05,Periférico Oriente,Boleto,0
2021-01-05,Periférico Oriente,Prepago,13395
2021-01-05,Periférico Oriente,Gratuidad,7156
2021-01-05,San Andrés Tomatlán,Boleto,0
2021-01-05,San Andrés Tomatlán,Prepago,4666
2021-01-05,San Andrés Tomatlán,Gratuidad,229
2021-01-05,Tezonco,Boleto,0
2021-01-05,Tezonco,Prepago,13808
2021-01-05,Tezonco,Gratuidad,568
2021-01-05,Tláhuac,Boleto,0
2021-01-05,Tláhuac,Prepago,13523
2021-01-05,Tláhuac,Gratuidad,20136
2021-01-05,Tlaltenco,Boleto,0
2021-01-05,Tlaltenco,Prepago,2413
2021-01-05,Tlaltenco,Gratuidad,1200
2021-01-05,Zapata,Boleto,0
2021-01-05,Zapata,Prepago,4787
2021-01-05,Zapata,Gratuidad,1582
2021-01-05,Zapotitlán,Boleto,0
2021-01-05,Zapotitlán,Prepago,7938
2021-01-05,Zapotitlán,Gratuidad,0
2021-01-06,Hospital 20 de Noviembre,Boleto,0
2021-01-06,Hospital 20 de Noviembre,Prepago,4421
2021-01-06,Hospital 20 de Noviembre,Gratuidad,441
2021-01-06,Atlalilco,Boleto,0
2021-01-06,Atlalilco,Prepago,3787
2021-01-06,Atlalilco,Gratuidad,3491
2021-01-06,Calle 11,Boleto,0
2021-01-06,Calle 11,Prepago,6530
2021-01-06,Calle 11,Gratuidad,2279
2021-01-06,Culhuacán,Boleto,0
2021-01-06,Culhuacán,Prepago,8148
2021-01-06,Culhuacán,Gratuidad,1119
2021-01-06,Eje Central,Boleto,0
2021-01-06,Eje Central,Prepago,2184
2021-01-06,Eje Central,Gratuidad,3194
2021-01-06,Ermita,Boleto,0
2021-01-06,Ermita,Prepago,3949
2021-01-06,Ermita,Gratuidad,290
2021-01-06,Insurgentes Sur,Boleto,0
2021-01-06,Insurgentes Sur,Prepago,11470
2021-01-06,Insurgentes Sur,Gratuidad,370
2021-01-06,Lomas Estrella,Boleto,0
2021-01-06,Lomas Estrella,Prepago,3581
2021-01-06,Lomas Estrella,Gratuidad,392
2021-01-06,Mexicaltzingo,Boleto,0
2021-01-06,Mexicaltzingo,Prepago,7521
2021-01-06,Mexicaltzingo,Gratuidad,0
2021-01-06,Mixcoac,Boleto,0
2021-01-06,Mixcoac,Prepago,4900
2021-01-06,Mixcoac,Gratuidad,1871
2021-01-06,Nopalera,Boleto,0
2021-01-06,Nopalera,Prepago,12064
2021-01-06,Nopalera,Gratuidad,815
2021-01-06,Olivos,Boleto,0
2021-01-06,Olivos,Prepago,8415
2021-01-06,Olivos,Gratuidad,2306
2021-01-06,Parque de los Venados,Boleto,0
2021-01-06,Parque de los Venados,Prepago,3860
2021-01-06,Parque de los Venados,Gratuidad,642
2021-01-06,Periférico Oriente,Boleto,0
2021-01-06,Periférico Oriente,Prepago,10255
2021-01-06,Periférico Oriente,Gratuidad,6595
2021-01-06,San Andrés Tomatlán,Boleto,0
2021-01-06,San Andrés Tomatlán,Prepago,4159
2021-01-06,San Andrés Tomatlán,Gratuidad,375
2021-01-06,Tezonco,Boleto,0
2021-01-06,Tezonco,Prepago,12112
2021-01-06,Tezonco,Gratuidad,1437
2021-01-06,Tláhuac,Boleto,0
2021-01-06,Tláhuac,Prepago,10984
2021-01-06,Tláhuac,Gratuidad,11493
2021-01-06,Tlaltenco,Boleto,0
2021-01-06,Tlaltenco,Prepago,1975
2021-01-06,Tlaltenco,Gratuidad,281
2021-01-06,Zapata,Boleto,0
2021-01-06,Zapata,Prepago,4283
2021-01-06,Zapata,Gratuidad,575
2021-01-06,Zapotitlán,Boleto,0
2021-01-06,Zapotitlán,Prepago,6385
2021-01-06,Zapotitlán,Gratuidad,688
2021-01-07,Hospital 20 de Noviembre,Boleto,0
2021-01-07,Hospital 20 de Noviembre,Prepago,4696
2021-01-07,Hospital 20 de Noviembre,Gratuidad,426
2021-01-07,Atlalilco,Boleto,0
2021-01-07,Atlalilco,Prepago,4059
2021-01-07,Atlalilco,Gratuidad,3502
2021-01-07,Calle 11,Boleto,0
2021-01-07,Calle 11,Prepago,7355
2021-01-07,Calle 11,Gratuidad,1502
2021-01-07,Culhuacán,Boleto,0
2021-01-07,Culhuacán,Prepago,8137
2021-01-07,Culhuacán,Gratuidad,846
2021-01-07,Eje Central,Boleto,0
2021-01-07,Eje Central,Prepago,2330
2021-01-07,Eje Central,Gratuidad,2282
2021-01-07,Ermita,Boleto,0
2021-01-07,Ermita,Prepago,4243
2021-01-07,Ermita,Gratuidad,538
2021-01-07,Insurgentes Sur,Boleto,0
2021-01-07,Insurgentes Sur,Prepago,12070
2021-01-07,Insurgentes Sur,Gratuidad,1124
2021-01-07,Lomas Estrella,Boleto,0
2021-01-07,Lomas Estrella,Prepago,3170
2021-01-07,Lomas Estrella,Gratuidad,0
2021-01-07,Mexicaltzingo,Boleto,0
2021-01-07,Mexicaltzingo,Prepago,7823
2021-01-07,Mexicaltzingo,Gratuidad,268
2021-01-07,Mixcoac,Boleto,0
2021-01-07,Mixcoac,Prepago,5168
2021-01-07,Mixcoac,Gratuidad,605
2021-01-07,Nopalera,Boleto,0
2021-01-07,Nopalera,Prepago,12334
2021-01-07,Nopalera,Gratuidad,5459
2021-01-07,Olivos,Boleto,0
2021-01-07,Olivos,Prepago,8498
2021-01-07,Olivos,Gratuidad,979
2021-01-07,Parque de los Venados,Boleto,0
2021-01-07,Parque de los Venados,Prepago,4059
2021-01-07,Parque de los Venados,Gratuidad,900
2021-01-07,Periférico Oriente,Boleto,0
2021-01-07,Periférico Oriente,Prepago,11629
2021-01-07,Periférico Oriente,Gratuidad,4611
2021-01-07,San Andrés Tomatlán,Boleto,0
2021-01-07,San Andrés Tomatlán,Prepago,4331
2021-01-07,San Andrés Tomatlán,Gratuidad,359
2021-01-07,Tezonco,Boleto,0
2021-01-07,Tezonco,Prepago,12452
2021-01-07,Tezonco,Gratuidad,1048
2021-01-07,Tláhuac,Boleto,0
2021-01-07,Tláhuac,Prepago,13493
2021-01-07,Tláhuac,Gratuidad,11335
2021-01-07,Tlaltenco,Boleto,0
2021-01-07,Tlaltenco,Prepago,2012
2021-01-07,Tlaltenco,Gratuidad,309
2021-01-07,Zapata,Boleto,0
2021-01-07,Zapata,Prepago,4367
2021-01-07,Zapata,Gratuidad,703
